"Sexe"	"Prénom"	"Nom"	"Groupe"	"Département.d.élection"	"Num.circonscription"	"Commission.permanente"	"Twitter"
"M."	"Guy"	"Delcourt"	"SRC"	"Pas-de-Calais"	3	"Affaires sociales"	"Guy_Delcourt"
"M."	"Guy"	"Geoffroy"	"UMP"	"Seine-et-Marne"	9	"Lois"	NA
"M."	"Guy"	"Teissier"	"UMP"	"Bouches-du-Rhône"	6	"Affaires étrangères"	"guyteissier"
"M."	"Guy-Michel"	"Chauveau"	"SRC"	"Sarthe"	3	"Affaires étrangères"	"GMChauveau"
"M."	"Gwendal"	"Rouillard"	"SRC"	"Morbihan"	5	"Défense"	"G_ROUILLARD"
"M."	"Gwenegan"	"Bui"	"SRC"	"Finistère"	4	"Affaires étrangères"	NA
"Mme"	"Hélène"	"Geoffroy"	"SRC"	"Rhône"	7	"Affaires sociales"	NA
"Mme"	"Hélène"	"Vainqueur-Christophe"	"SRC"	"Guadeloupe"	4	"Finances"	NA
"M."	"Henri"	"Emmanuelli"	"SRC"	"Landes"	3	"Finances"	NA
"M."	"Henri"	"Guaino"	"UMP"	"Yvelines"	3	"Affaires sociales"	NA
"M."	"Henri"	"Jibrayel"	"SRC"	"Bouches-du-Rhône"	7	"Affaires économiques"	"henrijibrayel"
"M."	"Hervé"	"Féron"	"SRC"	"Meurthe-et-Moselle"	2	"Affaires culturelles et éducation"	NA
"M."	"Hervé"	"Gaymard"	"UMP"	"Savoie"	2	"Affaires étrangères"	"HGaymard"
"M."	"Hervé"	"Mariton"	"UMP"	"Drôme"	3	"Finances"	"HerveMariton"
"M."	"Hervé"	"Morin"	"UDI"	"Eure"	3	"Affaires sociales"	"Herve_Morin"
"M."	"Hervé"	"Pellois"	"SRC"	"Morbihan"	1	"Affaires économiques"	"HervePellois"
"M."	"Hugues"	"Fourage"	"SRC"	"Vendée"	5	"Lois"	"HuguesFourage"
"Mme"	"Huguette"	"Bello"	"GDR"	"Réunion"	2	"Affaires culturelles et éducation"	NA
"M."	"Ibrahim"	"Aboubacar"	"SRC"	"Mayotte"	2	"Défense"	NA
"Mme"	"Isabelle"	"Attard"	"Ecolo"	"Calvados"	5	"Affaires culturelles et éducation"	"TeamIsaAttard"
"Mme"	"Isabelle"	"Bruneau"	"SRC"	"Indre"	2	"Affaires culturelles et éducation"	"IsabelleBrunea1"
"Mme"	"Isabelle"	"Le Callennec"	"UMP"	"Ille-et-Vilaine"	5	"Affaires sociales"	"lecallennec"
"Mme"	"Jacqueline"	"Fraysse"	"GDR"	"Hauts-de-Seine"	4	"Affaires sociales"	NA
"Mme"	"Jacqueline"	"Maquet"	"SRC"	"Pas-de-Calais"	2	"Affaires économiques"	NA
"M."	"Jacques Alain"	"Bénisti"	"UMP"	"Val-de-Marne"	4	"Développement durable"	NA
"M."	"Jacques"	"Bompard"	"NI"	"Vaucluse"	4	"Lois"	"JacquesBompard"
"M."	"Jacques"	"Cresta"	"SRC"	"Pyrénées-Orientales"	1	"Affaires étrangères"	NA
"M."	"Jacques"	"Kossowski"	"UMP"	"Hauts-de-Seine"	3	"Développement durable"	"jakossowski"
"M."	"Jacques"	"Krabal"	"RRDP"	"Aisne"	5	"Développement durable"	NA
"M."	"Jacques"	"Lamblin"	"UMP"	"Meurthe-et-Moselle"	4	"Défense"	NA
"M."	"Jacques"	"Moignard"	"RRDP"	"Tarn-et-Garonne"	2	"Défense"	NA
"M."	"Jacques"	"Myard"	"UMP"	"Yvelines"	5	"Affaires étrangères"	NA
"M."	"Jacques"	"Pélissard"	"UMP"	"Jura"	1	"Lois"	"pelissard"
"M."	"Jacques"	"Valax"	"SRC"	"Tarn"	2	"Lois"	"jvalax"
"M."	"Jean"	"Glavany"	"SRC"	"Hautes-Pyrénées"	1	"Affaires étrangères"	NA
"M."	"Jean"	"Grellier"	"SRC"	"Deux-Sèvres"	3	"Affaires économiques"	"Jean_Grellier"
"M."	"Jean Jacques"	"Vlody"	"SRC"	"Réunion"	3	"Affaires culturelles et éducation"	"jvlody"
"M."	"Jean"	"Lassalle"	"NI"	"Pyrénées-Atlantiques"	4	"Finances"	"jeanlassalle"
"M."	"Jean"	"Launay"	"SRC"	"Lot"	2	"Finances"	NA
"M."	"Jean"	"Leonetti"	"UMP"	"Alpes-Maritimes"	7	"Affaires sociales"	"jeanleonetti"
"M."	"Jean-Charles"	"Taugourdeau"	"UMP"	"Maine-et-Loire"	3	"Affaires économiques"	"JCTaugourdeau"
"M."	"Jean-Christophe"	"Cambadélis"	"SRC"	"Paris"	16	"Affaires étrangères"	"jccambadelis"
"M."	"Jean-Christophe"	"Fromantin"	"UDI"	"Hauts-de-Seine"	6	"Développement durable"	"JCFromantin"
"M."	"Jean-Christophe"	"Lagarde"	"UDI"	"Seine-Saint-Denis"	5	"Finances"	"jclagarde"
"M."	"Jean-Claude"	"Bouchet"	"UMP"	"Vaucluse"	2	"Affaires sociales"	"jcbouchet"
"M."	"Jean-Claude"	"Buisine"	"SRC"	"Somme"	3	"Affaires étrangères"	"Buisine2012"
"M."	"Jean-Claude"	"Fruteau"	"SRC"	"Réunion"	5	"Finances"	NA
"M."	"Jean-Claude"	"Gouget"	"SRC"	"Lot-et-Garonne"	3	"Défense"	NA
"M."	"Jean-Claude"	"Guibal"	"UMP"	"Alpes-Maritimes"	4	"Affaires étrangères"	"jcguibal"
"M."	"Jean-Claude"	"Mathis"	"UMP"	"Aube"	2	"Affaires économiques"	NA
"M."	"Jean-Claude"	"Mignon"	"UMP"	"Seine-et-Marne"	1	"Affaires étrangères"	"DeputeMIGNON"
"M."	"Jean-Claude"	"Perez"	"SRC"	"Aude"	1	"Défense"	NA
"M."	"Jean-David"	"Ciot"	"SRC"	"Bouches-du-Rhône"	14	"Défense"	"jdciot"
"M."	"Jean-François"	"Copé"	"UMP"	"Seine-et-Marne"	6	"Affaires culturelles et éducation"	"jf_cope"
"M."	"Jean-François"	"Lamour"	"UMP"	"Paris"	13	"Finances"	"jf_lamour"
"M."	"Jean-François"	"Mancel"	"UMP"	"Oise"	2	"Finances"	"jfmancel"
"M."	"Jean-Frédéric"	"Poisson"	"UMP"	"Yvelines"	10	"Lois"	"jfpoisson78"
"Mme"	"Jeanine"	"Dubié"	"RRDP"	"Hautes-Pyrénées"	2	"Affaires économiques"	NA
"M."	"Jean-Jacques"	"Bridey"	"SRC"	"Val-de-Marne"	7	"Défense"	NA
"M."	"Jean-Jacques"	"Candelier"	"GDR"	"Nord"	16	"Défense"	"jjcandelier"
"M."	"Jean-Jacques"	"Cottel"	"SRC"	"Pas-de-Calais"	1	"Développement durable"	"cotteljj"
"M."	"Jean-Jacques"	"Guillet"	"UMP"	"Hauts-de-Seine"	8	"Affaires étrangères"	"jjguillet"
"M."	"Jean-Jacques"	"Urvoas"	"SRC"	"Finistère"	1	"Lois"	"JJUrvoas"
"M."	"Jean-Louis"	"Borloo"	"UDI"	"Nord"	21	"Affaires culturelles et éducation"	"JLBorloo"
"M."	"Jean-Louis"	"Bricout"	"SRC"	"Aisne"	3	"Développement durable"	"BricoutDeputePS"
"M."	"Jean-Louis"	"Christ"	"UMP"	"Haut-Rhin"	2	"Affaires étrangères"	NA
"M."	"Jean-Louis"	"Destans"	"SRC"	"Eure"	2	"Affaires étrangères"	"JLDestans"
"M."	"Jean-Louis"	"Dumont"	"SRC"	"Meuse"	2	"Finances"	NA
"M."	"Jean-Louis"	"Gagnaire"	"SRC"	"Loire"	2	"Finances"	"JLGagnaire"
"M."	"Jean-Louis"	"Roumegas"	"Ecolo"	"Hérault"	1	"Affaires sociales"	"jlroumegas"
"M."	"Jean-Louis"	"Touraine"	"SRC"	"Rhône"	3	"Affaires sociales"	NA
"M."	"Jean-Luc"	"Bleunven"	"SRC"	"Finistère"	3	"Affaires étrangères"	"JeanLucBleunven"
"M."	"Jean-Luc"	"Drapeau"	"SRC"	"Deux-Sèvres"	2	"Affaires étrangères"	NA
"M."	"Jean-Luc"	"Laurent"	"SRC"	"Val-de-Marne"	10	"Affaires économiques"	NA
"M."	"Jean-Luc"	"Moudenc"	"UMP"	"Haute-Garonne"	3	"Développement durable"	"jlmoudenc"
"M."	"Jean-Luc"	"Reitzer"	"UMP"	"Haut-Rhin"	3	"Affaires étrangères"	NA
"M."	"Jean-Luc"	"Warsmann"	"UMP"	"Ardennes"	3	"Lois"	"warsmann"
"M."	"Jean-Marc"	"Germain"	"SRC"	"Hauts-de-Seine"	12	"Affaires sociales"	"jmgermain"
"M."	"Jean-Marie"	"Beffara"	"SRC"	"Indre-et-Loire"	3	"Finances"	"jmbeffara"
"M."	"Jean-Marie"	"Le Guen"	"SRC"	"Paris"	9	"Affaires étrangères"	"jm_leguen"
"M."	"Jean-Marie"	"Sermier"	"UMP"	"Jura"	3	"Développement durable"	NA
"M."	"Jean-Marie"	"Tetart"	"UMP"	"Yvelines"	9	"Affaires économiques"	"jeanmarietetart"
"M."	"Jean-Michel"	"Clément"	"SRC"	"Vienne"	3	"Lois"	"jmclement86"
"M."	"Jean-Michel"	"Couve"	"UMP"	"Var"	4	"Affaires économiques"	"jmcouve"
"M."	"Jean-Michel"	"Villaumé"	"SRC"	"Haute-Saône"	2	"Défense"	NA
"M."	"Jean-Noël"	"Carpentier"	"RRDP"	"Val-d'Oise"	3	"Affaires sociales"	NA
"M."	"Jean-Patrick"	"Gille"	"SRC"	"Indre-et-Loire"	1	"Affaires sociales"	"jp_gille"
"M."	"Jean-Paul"	"Bacquet"	"SRC"	"Puy-de-Dôme"	4	"Affaires étrangères"	"jpbacquet"
"M."	"Jean-Paul"	"Chanteguet"	"SRC"	"Indre"	1	"Développement durable"	NA
"M."	"Jean-Paul"	"Dupré"	"SRC"	"Aude"	3	"Affaires étrangères"	NA
"M."	"Jean-Paul"	"Tuaiva"	"UDI"	"Polynésie Française"	3	"Affaires économiques"	NA
"M."	"Jean-Philippe"	"Mallé"	"SRC"	"Yvelines"	11	"Affaires culturelles et éducation"	"JpmMALLE"
"M."	"Jean-Philippe"	"Nilor"	"GDR"	"Martinique"	4	"Affaires sociales"	NA
"M."	"Jean-Pierre"	"Allossery"	"SRC"	"Nord"	15	"Affaires culturelles et éducation"	NA
"M."	"Jean-Pierre"	"Barbier"	"UMP"	"Isère"	7	"Défense"	NA
"M."	"Jean-Pierre"	"Blazy"	"SRC"	"Val-d'Oise"	9	"Lois"	"jpblazy"
"M."	"Jean-Pierre"	"Decool"	"UMP"	"Nord"	14	"Lois"	"jpdecool"
"M."	"Jean-Pierre"	"Door"	"UMP"	"Loiret"	4	"Affaires sociales"	"doorjean"
"M."	"Jean-Pierre"	"Dufau"	"SRC"	"Landes"	2	"Affaires étrangères"	NA
"M."	"Jean-Pierre"	"Fougerat"	"SRC"	"Loire-Atlantique"	3	"Défense"	NA
"M."	"Jean-Pierre"	"Giran"	"UMP"	"Var"	3	"Affaires culturelles et éducation"	"jeanpierregiran"
"M."	"Jean-Pierre"	"Gorges"	"UMP"	"Eure-et-Loir"	1	"Finances"	NA
"M."	"Jean-Pierre"	"Maggi"	"SRC"	"Bouches-du-Rhône"	8	"Défense"	"jpmaggi_depute"
"M."	"Jean-Pierre"	"Le Roch"	"SRC"	"Morbihan"	3	"Affaires culturelles et éducation"	NA
"M."	"Jean-Pierre"	"Vigier"	"UMP"	"Haute-Loire"	2	"Développement durable"	NA
"M."	"Jean-René"	"Marsac"	"SRC"	"Ille-et-Vilaine"	4	"Affaires étrangères"	NA
"M."	"Jean-Sébastien"	"Vialatte"	"UMP"	"Var"	7	"Affaires sociales"	"JS_Vialatte"
"M."	"Jean-Yves"	"Le Bouillonnec"	"SRC"	"Val-de-Marne"	11	"Lois"	NA
"M."	"Jean-Yves"	"Caullet"	"SRC"	"Yonne"	2	"Développement durable"	"JYCaullet"
"M."	"Jean-Yves"	"Le Déaut"	"SRC"	"Meurthe-et-Moselle"	6	"Défense"	NA
"M."	"Jérôme"	"Chartier"	"UMP"	"Val-d'Oise"	7	"Finances"	"jechartier"
