"Source"	"Target"
"aveccrozon"	"pdoucet"
"aveccrozon"	"JLGagnaire"
"aveccrozon"	"regisjuanico"
"aveccrozon"	"CCoutelle"
"aveccrozon"	"LucBELOT"
"aveccrozon"	"Michel_MENARD"
"aveccrozon"	"laurentbaumel"
"aveccrozon"	"SuzanneTallard"
"aveccrozon"	"florent_boudie"
"aveccrozon"	"LucetteLousteau"
"aveccrozon"	"MatthiasFekl"
"aveccrozon"	"Lignierescassou"
"aveccrozon"	"Chabanne_Nat"
"aveccrozon"	"c_capdevielle"
"aveccrozon"	"TeamIsaAttard"
"aveccrozon"	"CaroleDelga"
"aveccrozon"	"chborgel"
"aveccrozon"	"DeputeMartin"
"aveccrozon"	"Linda_Gourjade"
"aveccrozon"	"AndrSaint"
"aveccrozon"	"philippekemel"
"aveccrozon"	"Karine_Berger"
"aveccrozon"	"chantalguittet"
"aveccrozon"	"RichardFerrand"
"aveccrozon"	"nathalieappere"
"aveccrozon"	"Paul_Molac"
"aveccrozon"	"pierrealainmuet"
"AxelPoniatowski"	"jf_cope"
"Ayledain"	"AndreChassaigne"
"Ayledain"	"JpmMALLE"
"Ayledain"	"PotierDominique"
"Ayledain"	"al_rousset"
"Ayledain"	"PhilippeDuron"
"Ayledain"	"SuzanneTallard"
"Ayledain"	"jlroumegas"
"Ayledain"	"MoniqueIborra"
"Ayledain"	"tthevenoud"
"Ayledain"	"PatricePrat"
"Ayledain"	"deputeeChauvel"
"Ayledain"	"JLGagnaire"
"Ayledain"	"F_Verdier"
"Ayledain"	"plisson2012"
"Ayledain"	"danielvaillant"
"Ayledain"	"faureolivier"
"Ayledain"	"OlivierMaud"
"Ayledain"	"jmclement86"
"Ayledain"	"karamanli72"
"Ayledain"	"chantalguittet"
"Ayledain"	"JulieSOMMARUGA"
"Ayledain"	"Dhoffmanrispal"
"Ayledain"	"DeputeTardy"
"Ayledain"	"JLBorloo"
"Ayledain"	"pascalcherki"
"Ayledain"	"MatthiasFekl"
"Ayledain"	"CCastaner"
"Ayledain"	"fredariege"
"Ayledain"	"Linda_Gourjade"
"Ayledain"	"bromagnan"
"Ayledain"	"jpmaggi_depute"
"Ayledain"	"bardyserge"
"Ayledain"	"VMassonneau"
"Ayledain"	"jmbeffara"
"Ayledain"	"JeanLucBleunven"
"Ayledain"	"SophieDessus"
"Ayledain"	"vpecresse"
"Ayledain"	"annick_leloch"
"Ayledain"	"BLesterlin"
"Ayledain"	"florent_boudie"
"Ayledain"	"pascalpopelin"
"Ayledain"	"fournier_armand"
"Ayledain"	"PhilippeNogues"
"Ayledain"	"DaSilvaCarlos91"
"Ayledain"	"olivierveran"
"Ayledain"	"GiseleBiemouret"
"Ayledain"	"ElisabethPochon"
"Ayledain"	"HuguesFourage"
"Ayledain"	"pbloche"
"Ayledain"	"william_dumas"
"Ayledain"	"G_ROUILLARD"
"Ayledain"	"clergeaumf"
"Ayledain"	"franckriester"
"Ayledain"	"c_erhel_deputee"
"Ayledain"	"sergiocoronado"
"Ayledain"	"SebastienDenaja"
"Ayledain"	"CCaresche"
"Ayledain"	"jccambadelis"
"Ayledain"	"jmgermain"
"Ayledain"	"elisabethguigou"
"Ayledain"	"Rihan_Cypel"
"Ayledain"	"regisjuanico"
"Ayledain"	"Valerie_Rabault"
"Ayledain"	"jm_leguen"
"Ayledain"	"pierrealainmuet"
"Ayledain"	"pdoucet"
"Ayledain"	"S_PIETRASANTA"
"Ayledain"	"chborgel"
"Ayledain"	"PhilipCordery"
"Ayledain"	"LGRANDGUILLAUME"
"Ayledain"	"claudebartolone"
"Ayledain"	"ma_chapdelaine"
"Ayledain"	"patrickmennucci"
"Ayledain"	"yanngalut"
"Ayledain"	"S_Mazetier"
"Ayledain"	"VincentFeltesse"
"Ayledain"	"BrunoLeRoux"
"Ayledain"	"PouriaAmirshahi"
"Ayledain"	"laurentbaumel"
"Ayledain"	"c_capdevielle"
"Ayledain"	"GBachelay"
"Ayledain"	"PatrickVignal"
"Ayledain"	"nathalieappere"
"Ayledain"	"olivierdussopt"
"Ayledain"	"CorinneNara"
"Ayledain"	"nicolasbays"
"Ayledain"	"ar_leroy"
"Ayledain"	"CaroleDelga"
"Ayledain"	"JJUrvoas"
"Ayledain"	"nk_m"
"B_Perrut"	"sy_berrios"
"B_Perrut"	"lionnelluca06"
"B_Perrut"	"phgosselin"
"B_Perrut"	"christian_kert"
"B_Perrut"	"jmcouve"
"B_Perrut"	"SophieDionBaud"
"B_Perrut"	"A_Suguenot"
"B_Perrut"	"philippefolliot"
"B_Perrut"	"fguegot"
"B_Perrut"	"ArnaudRichard_"
"B_Perrut"	"DubyMuller"
"B_Perrut"	"blanc_etienne"
"B_Perrut"	"jakossowski"
"B_Perrut"	"doorjean"
"B_Perrut"	"moyne_bressand"
"B_Perrut"	"rudysalles"
"B_Perrut"	"Herve_Morin"
"B_Perrut"	"olivieraudibert"
"B_Perrut"	"guyteissier"
"B_Perrut"	"JLBorloo"
"B_Perrut"	"lecallennec"
"B_Perrut"	"marclefur"
"B_Perrut"	"damienabad"
"B_Perrut"	"gilleslurton"
"B_Perrut"	"Michel_Sordi"
"B_Perrut"	"jmclement86"
"B_Perrut"	"MORELPIERRE"
"B_Perrut"	"GillesCarrez"
"B_Perrut"	"patrick_ollier"
"B_Perrut"	"ECiotti"
"B_Perrut"	"glarrive"
"B_Perrut"	"DuboisMarianne"
"B_Perrut"	"GerardCherpion"
"B_Perrut"	"ynicolin"
"B_Perrut"	"jcguibal"
"B_Perrut"	"jjguillet"
"B_Perrut"	"agrosskost"
"B_Perrut"	"PatrickLABAUNE"
"B_Perrut"	"jpdecool"
"B_Perrut"	"HerveMariton"
"B_Perrut"	"jfpoisson78"
"B_Perrut"	"GeorgesFENECH"
"B_Perrut"	"nicoleameline"
"B_Perrut"	"bretonxavier"
"B_Perrut"	"olivier_carre"
"B_Perrut"	"delaverpilliere"
"B_Perrut"	"pelissard"
"B_Perrut"	"FrancoisFillon"
"B_Perrut"	"BernardAccoyer"
"B_Perrut"	"DeputeARobinet"
"B_Perrut"	"Dbussereau"
"B_Perrut"	"francoisbaroin"
"B_Perrut"	"yvesjego"
"B_Perrut"	"solere92"
"B_Perrut"	"edouardcourtial"
"B_Perrut"	"ThierryMARIANI"
"B_Perrut"	"nk_m"
"B_Perrut"	"cestrosi"
"B_Perrut"	"DeputeTardy"
"B_Perrut"	"franckriester"
"B_Perrut"	"benoistapparu"
"B_Perrut"	"laurentwauquiez"
"B_Perrut"	"LucChatel"
"B_Perrut"	"xavierbertrand"
"B_Perrut"	"vpecresse"
"B_Perrut"	"jechartier"
"B_Perrut"	"jf_cope"
"B_Perrut"	"Bruno_LeMaire"
"B_Perrut"	"lauredlr"
"B_Perrut"	"valerieboyer13"
"B_Perrut"	"DominiqueDord"
"bardyserge"	"LGRANDGUILLAUME"
"bardyserge"	"BourguignonBrig"
"bardyserge"	"PhilippeNogues"
"bardyserge"	"MichelVERGNIER"
"bardyserge"	"SophieDessus"
"bardyserge"	"SebastienDenaja"
"bardyserge"	"G_ROUILLARD"
"bardyserge"	"laurentbaumel"
"bardyserge"	"regisjuanico"
"bardyserge"	"PhilippeBIES"
"bardyserge"	"PotierDominique"
"bardyserge"	"Michel_MENARD"
"bardyserge"	"CCastaner"
"bardyserge"	"Raimbourg2012"
"bardyserge"	"BrunoLeRoux"
"bardyserge"	"SophieErrante"
"bardyserge"	"ma_chapdelaine"
"bardyserge"	"claudebartolone"
"bardyserge"	"SylvieTolmont"
"bardyserge"	"CECKERT56"
"bardyserge"	"clergeaumf"
"bardyserge"	"JYCaullet"
"bardyserge"	"JJUrvoas"
"bardyserge"	"LucBELOT"
"bardyserge"	"PhilipCordery"
"bardyserge"	"faureolivier"
"benoistapparu"	"DubyMuller"
"benoistapparu"	"jfpoisson78"
"benoistapparu"	"HerveMariton"
"benoistapparu"	"A_Suguenot"
"benoistapparu"	"MORELPIERRE"
"benoistapparu"	"marclefur"
"benoistapparu"	"glarrive"
